,Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,personal_status,age,job,class
632,632,0,3,6,246,4,3,5,1,1
633,633,3,3,3,372,2,0,1,1,0
634,634,0,3,4,216,2,0,7,3,0
635,635,3,3,2,904,2,3,29,1,1
636,636,3,3,6,225,1,0,10,1,1
637,637,3,2,6,913,2,3,3,1,1
638,638,3,3,6,259,2,0,16,1,1
639,639,1,2,6,700,2,3,8,1,0
640,640,1,3,2,58,2,0,9,2,0
641,641,0,3,7,197,2,3,20,3,1
642,642,3,3,2,715,0,3,22,0,0
643,643,3,1,6,335,2,2,15,1,1
644,644,1,1,6,341,2,2,14,0,1
645,645,3,2,0,846,4,3,9,1,0
646,646,1,4,3,710,2,1,14,1,1
647,647,3,3,4,229,1,0,8,1,0
648,648,2,3,4,98,2,3,20,1,0
649,649,1,3,2,42,2,3,22,3,0
650,650,1,3,2,829,2,3,32,0,1
651,651,0,3,3,353,2,3,19,3,0
652,652,1,3,4,437,2,3,27,1,0
653,653,0,2,4,849,0,3,24,0,0
654,654,3,1,9,449,2,3,17,1,1
655,655,1,3,4,675,2,3,4,1,1
656,656,0,3,4,82,2,3,23,3,0
657,657,3,3,6,878,4,3,19,1,1
658,658,0,4,0,691,2,0,10,1,1
659,659,0,1,3,788,2,3,23,1,1
660,660,2,3,6,193,2,2,5,1,1
661,661,1,3,4,84,4,2,5,1,0
662,662,3,3,3,422,2,3,32,1,1
663,663,0,2,3,118,2,3,17,0,1
664,664,2,1,2,115,2,0,32,3,1
665,665,3,1,5,785,2,3,9,0,1
666,666,0,0,3,613,3,3,16,1,1
667,667,3,0,0,632,2,0,9,1,1
668,668,1,1,4,1,2,3,25,1,0
669,669,2,1,6,554,2,3,29,1,1
670,670,3,1,0,685,0,3,9,3,1
671,671,3,3,0,757,0,3,13,1,1
672,672,3,3,4,880,2,3,24,0,1
673,673,3,1,4,389,1,2,6,1,1
674,674,3,2,0,487,1,3,23,3,0
675,675,3,1,6,708,2,0,8,0,1
676,676,3,1,3,740,2,3,15,1,1
677,677,0,3,6,755,0,2,6,1,0
678,678,1,3,6,456,2,3,46,3,1
679,679,3,3,6,249,2,0,8,1,1
680,680,3,3,2,278,2,0,38,1,1
681,681,3,3,6,430,4,3,19,1,1
682,682,3,2,6,256,2,2,15,1,1
683,683,3,1,6,737,2,2,29,1,1
684,684,0,2,0,874,0,3,13,3,1
685,685,3,3,4,794,4,3,16,1,1
686,686,2,1,6,214,4,3,9,1,1
687,687,0,2,4,2,0,3,12,1,1
688,688,3,3,6,516,0,3,17,1,1
689,689,1,3,4,641,3,3,13,1,1
690,690,1,1,3,104,2,1,7,1,1
691,691,0,3,7,496,0,0,7,3,1
692,692,0,3,6,538,0,3,11,1,1
693,693,1,1,4,721,4,3,26,3,1
694,694,3,3,6,431,2,3,10,1,1
695,695,3,3,9,168,1,3,32,1,1
696,696,0,3,6,128,2,3,11,1,1
697,697,3,1,4,90,2,0,20,2,1
698,698,3,1,6,323,2,3,6,1,1
699,699,2,3,2,349,2,3,22,0,1
700,700,3,3,3,132,1,0,11,3,0
701,701,1,1,9,786,2,3,28,1,0
702,702,2,3,6,226,0,0,29,1,1
703,703,0,2,0,473,0,3,23,1,1
704,704,0,3,0,479,2,0,14,1,1
705,705,3,3,4,748,1,0,17,1,1
706,706,0,3,4,795,0,3,6,1,0
707,707,0,4,3,547,2,0,7,1,0
708,708,0,3,6,156,2,0,7,1,1
709,709,0,3,6,395,2,3,19,3,1
710,710,3,1,6,30,1,3,14,0,1
711,711,1,0,2,150,2,0,17,1,0
712,712,3,3,9,472,4,3,28,0,1
713,713,1,1,6,136,2,3,7,3,1
714,714,0,3,4,905,2,3,9,0,0
715,715,3,1,9,833,4,3,45,1,1
716,716,3,1,6,565,4,3,22,1,1
717,717,3,3,6,265,2,3,14,0,1
718,718,2,1,6,574,4,3,13,1,1
719,719,0,4,9,775,0,2,13,1,1
720,720,2,4,6,208,2,3,16,0,0
721,721,0,0,2,15,3,0,6,1,0
722,722,1,3,4,166,2,0,6,3,0
723,723,0,3,6,68,1,0,48,3,1
724,724,3,3,4,482,2,0,3,1,0
725,725,3,1,4,3,3,0,23,3,1
726,726,3,1,6,201,1,2,29,3,1
727,727,1,3,6,343,2,0,7,1,0
728,728,0,0,0,790,2,0,41,1,0
729,729,2,1,0,183,3,1,18,1,1
730,730,0,2,6,789,2,3,15,1,1
731,731,1,3,6,374,2,3,3,3,0
732,732,0,3,6,62,2,0,26,3,1
733,733,3,3,9,489,3,0,10,1,1
734,734,3,1,4,597,2,0,19,1,1
735,735,0,0,1,678,4,0,11,2,1
736,736,0,3,9,889,2,0,5,0,0
737,737,1,3,4,701,0,3,17,3,1
738,738,3,1,4,803,2,3,27,0,1
739,739,0,4,0,695,0,0,8,3,0
740,740,1,0,4,442,0,3,14,1,1
741,741,0,0,6,116,2,3,5,3,1
742,742,3,3,6,576,4,3,23,1,1
743,743,1,0,3,920,1,3,4,1,1
744,744,1,1,3,906,4,3,12,0,1
745,745,1,1,0,322,2,3,10,3,1
746,746,1,3,4,475,2,0,5,1,1
747,747,1,3,4,182,2,0,19,3,0
748,748,3,3,9,745,4,3,8,1,1
749,749,3,3,9,556,2,3,15,1,1
750,750,1,3,3,14,2,0,31,1,1
751,751,1,3,4,105,2,0,5,3,0
752,752,0,3,0,74,0,0,5,3,1
753,753,3,1,6,759,2,0,7,1,1
754,754,3,2,7,287,3,3,37,1,0
755,755,1,3,4,187,4,0,14,1,0
756,756,2,1,4,194,2,3,52,2,1
757,757,2,1,6,181,4,3,21,1,0
758,758,3,3,4,232,2,3,13,1,1
759,759,1,1,4,44,2,3,17,1,0
760,760,3,1,4,734,4,0,41,1,1
761,761,1,1,3,398,2,0,0,1,0
762,762,1,3,6,416,2,3,6,3,1
763,763,3,1,4,900,4,3,12,0,0
764,764,3,1,4,470,0,2,9,1,1
765,765,0,3,6,139,2,2,22,3,1
766,766,1,3,3,570,2,1,13,3,0
767,767,3,3,9,540,4,0,13,1,1
768,768,0,1,3,634,2,3,10,1,1
769,769,3,1,6,305,2,3,45,3,1
770,770,1,3,9,527,4,0,8,1,1
771,771,1,1,2,847,2,0,7,0,0
772,772,3,1,9,588,2,3,18,0,1
773,773,3,1,6,418,0,3,34,1,1
774,774,2,1,4,257,1,3,48,2,1
775,775,1,3,4,222,4,0,7,1,0
776,776,3,1,4,619,2,3,19,1,1
777,777,1,3,6,615,2,0,7,1,1
778,778,3,1,9,756,3,3,20,0,1
779,779,0,3,7,662,2,0,49,1,1
780,780,0,1,6,732,2,3,7,1,0
781,781,3,1,4,362,3,3,42,1,1
782,782,0,4,8,236,2,3,13,3,1
783,783,0,3,4,73,0,0,5,3,0
784,784,0,3,9,793,4,1,42,0,1
785,785,0,3,0,363,3,3,17,3,1
786,786,3,3,6,502,1,3,22,1,1
787,787,3,1,9,515,4,3,20,1,1
788,788,0,2,2,921,2,3,32,1,0
789,789,1,1,2,770,2,3,9,1,0
790,790,0,3,0,147,2,0,21,1,0
791,791,3,3,9,784,4,3,23,0,1
792,792,3,1,3,162,4,2,9,1,1
793,793,2,3,3,537,2,1,33,1,1
794,794,3,3,3,562,1,3,14,1,1
795,795,3,3,3,435,0,0,4,1,1
796,796,1,3,9,831,4,3,33,1,0
797,797,3,1,3,178,2,0,4,3,1
798,798,3,2,4,51,4,2,36,1,1
799,799,0,3,4,283,4,3,17,2,1
800,800,3,1,2,300,2,3,36,1,1
801,801,0,1,6,321,2,0,30,3,1
802,802,1,1,3,694,2,0,6,1,1
803,803,3,1,6,105,4,3,17,1,1
804,804,0,3,4,828,4,0,6,2,1
805,805,1,3,4,866,2,3,6,1,0
806,806,0,3,6,24,2,2,8,3,1
807,807,3,1,6,92,4,3,47,1,1
808,808,0,0,9,868,2,3,37,0,1
809,809,0,4,4,320,2,0,8,2,0
810,810,0,3,0,86,2,2,8,1,1
811,811,0,3,6,19,2,2,10,3,1
812,812,1,1,9,873,2,3,6,1,0
813,813,1,3,1,559,2,3,36,1,0
814,814,1,3,4,668,2,3,28,1,0
815,815,0,2,4,827,2,0,36,1,1
816,816,3,3,1,209,1,1,44,1,1
817,817,3,1,6,286,2,0,6,1,1
818,818,1,3,5,915,2,1,25,0,1
819,819,1,3,6,212,2,2,8,1,0
820,820,3,3,4,127,2,2,9,1,1
821,821,2,3,6,553,2,2,6,1,1
822,822,1,3,3,508,2,3,23,1,0
823,823,1,1,4,55,2,3,29,3,1
824,824,3,1,3,652,2,1,17,0,1
825,825,1,1,4,301,2,2,12,1,1
826,826,1,1,4,673,2,0,15,1,0
827,827,3,4,0,688,2,3,18,1,0
828,828,1,3,9,853,4,3,29,1,0
829,829,0,2,0,800,4,3,20,1,1
830,830,3,2,0,455,1,3,26,1,1
831,831,1,3,4,160,2,0,5,1,0
832,832,1,4,0,892,2,3,11,1,0
833,833,0,3,6,735,4,0,24,1,1
834,834,2,3,6,444,2,0,7,3,0
835,835,1,4,4,124,2,3,30,1,0
836,836,3,3,6,81,4,0,3,1,1
837,837,3,3,3,25,2,0,5,3,1
838,838,1,1,9,545,2,3,45,1,1
839,839,3,1,6,491,2,2,28,1,1
840,840,1,3,3,742,2,3,11,1,0
841,841,3,2,9,550,2,3,10,3,1
842,842,3,3,7,364,2,0,5,1,0
843,843,3,0,0,288,2,3,32,1,1
844,844,3,3,3,605,2,3,29,1,1
845,845,0,3,3,676,4,3,17,1,1
846,846,3,3,4,803,4,3,50,1,0
847,847,3,3,4,176,2,2,10,1,1
848,848,1,3,6,220,2,3,41,1,1
849,849,1,3,6,50,2,3,39,3,0
850,850,1,1,4,420,2,2,15,1,0
851,851,3,1,9,681,4,3,25,1,1
852,852,3,1,6,253,2,3,17,1,1
853,853,1,0,4,245,2,3,14,3,0
854,854,3,2,4,884,2,3,27,1,1
855,855,3,3,4,255,0,2,15,1,1
856,856,3,3,8,83,4,0,22,1,1
857,857,3,1,3,591,2,3,10,1,1
858,858,1,3,4,671,2,0,11,1,0
859,859,3,3,4,626,0,3,8,1,1
860,860,3,1,9,762,3,3,9,1,1
861,861,3,2,0,409,2,2,10,1,0
862,862,1,3,6,466,2,0,17,1,0
863,863,3,1,3,707,3,3,14,3,1
864,864,3,3,3,414,2,3,7,3,0
865,865,3,3,3,417,1,0,2,1,1
866,866,1,3,6,457,2,0,9,1,1
867,867,3,1,3,589,2,3,24,1,1
868,868,3,3,0,825,4,3,19,1,1
869,869,1,3,3,33,2,0,6,1,1
870,870,3,2,3,835,1,0,22,1,1
871,871,2,1,4,210,2,3,28,1,1
872,872,1,1,0,228,0,3,8,1,1
873,873,3,3,1,78,4,0,6,1,1
874,874,1,3,3,628,2,3,11,3,1
875,875,0,1,4,203,3,0,22,1,1
876,876,1,0,6,362,2,3,18,0,1
877,877,3,3,6,630,2,3,10,1,1
878,878,1,3,4,241,2,3,9,0,0
879,879,3,1,6,801,4,3,18,1,1
880,880,3,3,9,840,2,3,20,0,1
881,881,3,3,9,867,4,1,30,1,1
882,882,0,1,4,411,4,3,18,1,1
883,883,3,1,6,126,2,0,47,2,1
884,884,0,3,3,682,2,1,25,1,0
885,885,1,3,2,0,2,0,35,1,0
886,886,0,1,0,529,4,3,16,1,1
887,887,0,3,0,914,2,3,5,1,0
888,888,3,1,4,798,2,3,16,0,1
889,889,3,0,9,841,4,3,22,1,1
890,890,1,1,0,467,2,3,25,0,1
891,891,3,1,6,330,2,3,28,1,1
892,892,1,1,4,410,2,3,20,3,1
893,893,0,1,9,760,2,3,16,1,1
894,894,3,1,6,144,4,3,11,1,1
895,895,3,2,9,922,4,3,13,0,1
896,896,1,3,6,490,2,0,10,0,1
897,897,3,1,3,298,3,0,17,1,1
898,898,3,3,3,412,4,0,15,3,1
899,899,1,3,3,687,2,3,24,1,0
900,900,1,1,4,494,2,3,25,1,0
901,901,3,1,4,611,4,1,26,1,1
902,902,3,1,9,881,4,3,24,1,1
903,903,3,3,6,229,4,2,22,1,1
904,904,3,3,6,184,2,3,18,0,1
905,905,1,3,6,129,2,3,2,0,1
906,906,1,3,4,650,4,3,6,3,1
907,907,0,3,2,646,4,2,9,1,1
908,908,3,2,9,629,2,0,28,3,1
909,909,0,3,4,581,4,0,15,3,1
910,910,3,2,6,703,2,0,16,1,1
911,911,0,1,3,722,2,0,7,3,0
912,912,0,3,6,549,4,0,7,1,1
913,913,3,3,0,404,3,1,10,1,1
914,914,1,0,0,577,2,3,13,1,0
915,915,0,4,5,917,2,0,14,0,0
916,916,3,3,9,533,0,3,14,1,1
917,917,1,3,4,911,2,3,50,0,0
918,918,1,3,3,452,0,1,15,1,0
919,919,1,3,3,592,2,3,21,0,0
920,920,3,1,3,326,2,0,10,1,1
921,921,3,2,6,901,1,3,19,0,1
922,922,1,3,6,221,2,0,4,1,0
923,923,0,3,4,376,2,3,12,1,1
924,924,1,0,3,807,2,1,37,1,0
925,925,1,0,4,45,2,3,28,1,0
926,926,1,1,3,117,2,0,3,1,1
927,927,1,3,9,879,2,3,21,1,0
928,928,3,3,6,339,4,3,40,1,1
929,929,1,2,4,211,2,3,25,3,1
930,930,1,3,3,315,2,3,6,3,1
931,931,0,3,6,308,2,0,4,1,0
932,932,3,1,4,164,2,3,12,1,1
933,933,3,1,6,21,1,3,24,1,1
934,934,1,3,6,262,2,0,5,1,1
935,935,0,2,6,352,0,3,12,0,0
936,936,2,3,6,57,2,0,10,3,0
937,937,0,3,6,385,2,2,12,0,1
938,938,0,3,2,781,2,3,24,1,0
939,939,3,1,9,805,4,3,28,0,1
940,940,3,3,4,618,4,3,27,0,1
941,941,3,3,4,282,2,3,13,3,1
942,942,3,3,3,91,4,3,13,1,1
943,943,3,1,4,250,2,3,24,3,1
944,944,1,3,3,334,2,0,28,1,1
945,945,0,4,4,854,1,0,12,1,1
946,946,1,0,3,593,1,3,12,1,0
947,947,3,3,4,534,4,3,20,0,1
948,948,3,3,3,275,2,2,25,3,0
949,949,3,3,6,636,0,3,13,1,0
950,950,0,1,0,628,2,2,22,2,1
951,951,1,2,0,405,2,3,6,1,0
952,952,0,3,9,684,1,0,10,1,0
953,953,3,3,3,886,2,0,8,0,0
954,954,1,3,4,346,2,0,11,1,1
955,955,1,1,6,167,3,0,39,0,1
956,956,2,1,6,643,4,3,31,3,1
957,957,0,1,6,138,2,3,19,3,1
958,958,1,3,4,679,2,3,27,3,0
959,959,0,3,3,563,0,3,12,1,1
960,960,3,1,6,313,2,2,12,1,1
961,961,0,2,4,451,2,1,29,1,1
962,962,3,3,4,621,4,3,11,1,1
963,963,3,3,6,460,1,3,17,1,0
964,964,0,3,7,17,2,2,4,3,1
965,965,0,3,6,310,4,0,8,1,1
966,966,0,1,6,477,1,3,5,3,0
967,967,3,3,6,624,2,0,36,0,1
968,968,3,3,6,815,4,2,11,1,1
969,969,1,1,4,669,2,3,22,3,1
970,970,0,3,7,267,0,3,4,1,1
971,971,3,3,4,823,2,3,25,3,1
972,972,1,0,4,149,2,0,11,2,0
973,973,1,3,0,820,2,3,18,1,0
974,974,3,1,6,531,2,0,15,1,1
975,975,2,3,6,178,1,0,39,3,1
976,976,0,3,6,59,2,0,46,1,1
977,977,0,2,0,465,4,3,24,1,1
978,978,3,2,4,480,2,3,29,3,0
979,979,0,0,4,180,0,2,7,1,0
980,980,0,1,3,855,2,3,31,1,0
981,981,3,3,0,730,2,3,15,0,0
982,982,2,3,4,542,0,0,10,0,1
983,983,1,3,9,851,2,3,8,1,0
984,984,3,1,3,379,2,3,12,3,1
985,985,1,1,3,243,2,0,7,1,1
986,986,2,4,0,782,2,1,15,1,1
987,987,3,3,6,235,0,0,46,1,1
988,988,1,3,9,797,2,3,11,0,1
989,989,0,1,6,314,2,3,30,3,1
990,990,3,1,2,622,4,3,19,3,1
991,991,3,0,6,291,0,3,16,3,1
992,992,1,3,6,360,4,2,5,3,1
993,993,1,3,3,671,2,3,12,0,1
994,994,3,3,4,458,4,3,32,1,1
995,995,3,3,3,312,2,0,13,3,1
996,996,1,3,9,659,2,1,22,0,1
997,997,3,3,6,71,2,3,20,1,1
998,998,1,3,6,334,2,3,5,1,0
999,999,0,1,9,709,0,3,9,1,1
